ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
CHN,China,total,Sanitation,2016,10.2901,147937437.66809,Unimproved
CHN,China,total,Drinking water,2016,6.34508,91221091.70297,Unimproved
COL,Colombia,total,Sanitation,2016,72.24859,34805792.29518,Basic service
COL,Colombia,total,Drinking water,2016,23.98945,11556930.85418,Basic service
COL,Colombia,total,Sanitation,2016,5.54503,2671322.75258,Limited service
COL,Colombia,total,Drinking water,2016,0.18663,89908.28274,Limited service
COL,Colombia,total,Sanitation,2016,3.58827,1728648.47765,Open defecation
COL,Colombia,total,Sanitation,2016,17.71633,8534851.46411,Safely managed service
COL,Colombia,total,Drinking water,2016,72.62751,34988338.324,Safely managed service
COL,Colombia,total,Drinking water,2016,1.69027,814287.61688,Surface water
COL,Colombia,total,Sanitation,2016,0.90178,434433.00807,Unimproved
COL,Colombia,total,Drinking water,2016,1.50614,725582.92557,Unimproved
CRI,Costa Rica,total,Sanitation,2016,65.69871,3218800.39379,Basic service
CRI,Costa Rica,total,Drinking water,2016,19.19138,940250.26665,Basic service
CRI,Costa Rica,total,Sanitation,2016,0.97278,47659.88768,Limited service
CRI,Costa Rica,total,Drinking water,2016,0.24149,11831.43772,Limited service
CRI,Costa Rica,total,Sanitation,2016,0.23698,11610.45111,Open defecation
CRI,Costa Rica,total,Sanitation,2016,31.53312,1544913.48098,Safely managed service
CRI,Costa Rica,total,Drinking water,2016,80.40471,3939296.79788,Safely managed service
CRI,Costa Rica,total,Drinking water,2016,0.05296,2594.80412,Surface water
CRI,Costa Rica,total,Sanitation,2016,1.55841,76351.78655,Unimproved
CRI,Costa Rica,total,Drinking water,2016,0.10946,5362.6933,Unimproved
CUB,Cuba,total,Drinking water,2016,96.09702,10892700.4781,At least basic
CUB,Cuba,total,Sanitation,2016,53.395,6052380.56408,Basic service
CUB,Cuba,total,Sanitation,2016,2.95792,335283.4397,Limited service
CUB,Cuba,total,Drinking water,2016,1.69577,192216.98325,Limited service
CUB,Cuba,total,Sanitation,2016,0.52329,59315.98336,Open defecation
CUB,Cuba,total,Sanitation,2016,37.11058,4206524.18641,Safely managed service
CUB,Cuba,total,Drinking water,2016,0.36147,40973.00979,Surface water
CUB,Cuba,total,Sanitation,2016,6.01321,681603.82544,Unimproved
CUB,Cuba,total,Drinking water,2016,1.84575,209217.41676,Unimproved
DMA,Dominica,total,Sanitation,2016,80.36642,57306.88636,At least basic
DMA,Dominica,total,Drinking water,2016,95.42065,68041.60596,At least basic
DMA,Dominica,total,Sanitation,2016,3.17456,2263.68159,Limited service
DMA,Dominica,total,Drinking water,2016,0,0,Limited service
DMA,Dominica,total,Sanitation,2016,5.57107,3972.56148,Open defecation
DMA,Dominica,total,Drinking water,2016,0,0,Surface water
DMA,Dominica,total,Sanitation,2016,10.88795,7763.87034,Unimproved
DMA,Dominica,total,Drinking water,2016,4.57934,3265.39278,Unimproved
DOM,Dominican Republic,total,Sanitation,2016,85.3402,8873450.64694,At least basic
DOM,Dominican Republic,total,Drinking water,2016,96.3763,10020955.64951,At least basic
DOM,Dominican Republic,total,Sanitation,2016,10.12067,1052321.24018,Limited service
